#options: 1024x576 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=2 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=21.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=1000 vbv_bufsize=2000 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:46 out:43 type:P dur:2 cpbdur:2 q:26.26 aq:16.88 tex:53317 mv:4204 misc:1263 imb:41 pmb:626 smb:1637 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:26.26 aq:22.66 tex:5719 mv:2597 misc:948 imb:1 pmb:325 smb:1978 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:26.26 aq:24.13 tex:2753 mv:1617 misc:710 imb:1 pmb:212 smb:2091 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:26.26 aq:23.74 tex:2542 mv:1614 misc:732 imb:2 pmb:200 smb:2102 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:26.26 aq:16.36 tex:52480 mv:4048 misc:1184 imb:56 pmb:603 smb:1645 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:26.26 aq:23.15 tex:5072 mv:2497 misc:887 imb:1 pmb:324 smb:1979 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:26.26 aq:24.40 tex:2404 mv:1576 misc:708 imb:0 pmb:206 smb:2098 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:26.26 aq:25.48 tex:2370 mv:1500 misc:714 imb:1 pmb:196 smb:2107 d:- ref:0 ;
in:53 out:51 type:P dur:2 cpbdur:2 q:26.26 aq:16.02 tex:37685 mv:3723 misc:1240 imb:39 pmb:586 smb:1679 d:- ref:0 ;
in:51 out:52 type:B dur:2 cpbdur:2 q:26.26 aq:20.74 tex:4138 mv:1891 misc:811 imb:1 pmb:259 smb:2044 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:26.26 aq:20.85 tex:2395 mv:1375 misc:630 imb:4 pmb:175 smb:2125 d:- ref:0 ;
in:56 out:54 type:P dur:2 cpbdur:2 q:26.26 aq:15.40 tex:38975 mv:3913 misc:1200 imb:49 pmb:590 smb:1665 d:- ref:0 ;
in:54 out:55 type:B dur:2 cpbdur:2 q:26.26 aq:20.78 tex:4080 mv:2084 misc:812 imb:2 pmb:256 smb:2046 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:26.26 aq:18.72 tex:2309 mv:1636 misc:695 imb:3 pmb:204 smb:2097 d:- ref:0 ;
in:59 out:57 type:P dur:2 cpbdur:2 q:26.26 aq:16.14 tex:50797 mv:4181 misc:1342 imb:48 pmb:632 smb:1624 d:- ref:0 ;
in:57 out:58 type:B dur:2 cpbdur:2 q:26.26 aq:21.77 tex:4114 mv:2091 misc:867 imb:4 pmb:275 smb:2025 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:26.26 aq:22.19 tex:2080 mv:1602 misc:774 imb:1 pmb:206 smb:2097 d:- ref:0 ;
in:61 out:60 type:P dur:2 cpbdur:2 q:26.26 aq:15.94 tex:49083 mv:4073 misc:1268 imb:52 pmb:606 smb:1646 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:26.26 aq:21.35 tex:2949 mv:2529 misc:834 imb:3 pmb:270 smb:2031 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:26.26 aq:16.80 tex:54280 mv:4341 misc:1283 imb:55 pmb:619 smb:1630 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:26.26 aq:22.25 tex:5796 mv:3208 misc:988 imb:4 pmb:359 smb:1941 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:26.26 aq:20.80 tex:3087 mv:1876 misc:765 imb:0 pmb:223 smb:2081 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:26.26 aq:20.31 tex:2027 mv:1810 misc:771 imb:3 pmb:224 smb:2077 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:26.26 aq:16.01 tex:52850 mv:4843 misc:1139 imb:59 pmb:631 smb:1614 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:26.26 aq:20.14 tex:5783 mv:3113 misc:1000 imb:4 pmb:358 smb:1942 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:26.26 aq:22.13 tex:2766 mv:1969 misc:737 imb:3 pmb:224 smb:2077 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:26.26 aq:22.92 tex:2467 mv:2140 misc:801 imb:1 pmb:245 smb:2058 d:- ref:0 ;
in:72 out:70 type:P dur:2 cpbdur:2 q:26.26 aq:15.65 tex:46682 mv:4207 misc:1223 imb:48 pmb:611 smb:1645 d:- ref:0 ;
in:70 out:71 type:B dur:2 cpbdur:2 q:26.26 aq:21.55 tex:3746 mv:2595 misc:787 imb:1 pmb:287 smb:2016 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:26.26 aq:19.18 tex:2395 mv:1976 misc:725 imb:2 pmb:222 smb:2080 d:- ref:0 ;
in:75 out:73 type:P dur:2 cpbdur:2 q:26.26 aq:16.40 tex:48373 mv:4113 misc:1218 imb:46 pmb:604 smb:1654 d:- ref:0 ;
in:73 out:74 type:B dur:2 cpbdur:2 q:26.26 aq:21.37 tex:4056 mv:2085 misc:803 imb:0 pmb:259 smb:2045 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:26.26 aq:22.80 tex:2229 mv:1809 misc:722 imb:2 pmb:211 smb:2091 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:26.26 aq:16.32 tex:47252 mv:4110 misc:1230 imb:55 pmb:603 smb:1646 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:26.26 aq:20.91 tex:4758 mv:2605 misc:941 imb:1 pmb:302 smb:2001 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:26.26 aq:22.14 tex:2039 mv:1710 misc:739 imb:2 pmb:206 smb:2096 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:26.26 aq:18.90 tex:1534 mv:1427 misc:623 imb:2 pmb:184 smb:2118 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:26.26 aq:17.91 tex:40488 mv:3228 misc:1244 imb:27 pmb:591 smb:1686 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:26.26 aq:21.43 tex:1448 mv:1300 misc:652 imb:2 pmb:172 smb:2130 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:26.26 aq:16.41 tex:40426 mv:3240 misc:1350 imb:44 pmb:574 smb:1686 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:26.26 aq:20.93 tex:1656 mv:1461 misc:699 imb:2 pmb:185 smb:2117 d:- ref:0 ;
in:86 out:84 type:P dur:2 cpbdur:2 q:26.26 aq:15.51 tex:52732 mv:4600 misc:1268 imb:59 pmb:702 smb:1543 d:- ref:0 ;
in:84 out:85 type:B dur:2 cpbdur:2 q:26.26 aq:22.25 tex:3933 mv:2329 misc:938 imb:6 pmb:292 smb:2006 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:26.26 aq:22.52 tex:1714 mv:1535 misc:639 imb:3 pmb:186 smb:2115 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:26.26 aq:16.43 tex:45866 mv:3618 misc:1292 imb:36 pmb:620 smb:1648 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:26.26 aq:21.29 tex:5362 mv:2205 misc:841 imb:5 pmb:262 smb:2037 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:26.26 aq:21.83 tex:2657 mv:1452 misc:587 imb:1 pmb:184 smb:2119 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:26.26 aq:21.65 tex:2046 mv:1367 misc:571 imb:2 pmb:166 smb:2136 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:26.26 aq:16.08 tex:36565 mv:2695 misc:1300 imb:22 pmb:514 smb:1768 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:26.26 aq:21.97 tex:2253 mv:1291 misc:576 imb:0 pmb:165 smb:2139 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:26.26 aq:15.28 tex:42263 mv:3583 misc:1274 imb:45 pmb:564 smb:1695 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:26.26 aq:19.59 tex:4574 mv:1965 misc:837 imb:3 pmb:256 smb:2045 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:26.26 aq:22.04 tex:2780 mv:1320 misc:572 imb:3 pmb:168 smb:2133 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:26.26 aq:18.48 tex:1894 mv:1326 misc:612 imb:1 pmb:172 smb:2131 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:26.26 aq:16.10 tex:43142 mv:3823 misc:1219 imb:49 pmb:591 smb:1664 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:26.26 aq:18.64 tex:4016 mv:2170 misc:862 imb:3 pmb:258 smb:2043 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:26.26 aq:20.64 tex:2078 mv:1407 misc:627 imb:1 pmb:177 smb:2126 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:26.26 aq:21.14 tex:1853 mv:1339 misc:632 imb:0 pmb:170 smb:2134 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:26.26 aq:17.13 tex:46573 mv:3898 misc:1289 imb:49 pmb:625 smb:1630 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:26.26 aq:20.71 tex:4836 mv:2123 misc:873 imb:2 pmb:271 smb:2031 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:26.26 aq:18.87 tex:2067 mv:1380 misc:625 imb:0 pmb:172 smb:2132 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:26.26 aq:20.06 tex:1461 mv:1296 misc:579 imb:2 pmb:167 smb:2135 d:- ref:0 ;
in:107 out:105 type:P dur:2 cpbdur:2 q:26.26 aq:16.04 tex:41308 mv:3505 misc:1291 imb:33 pmb:593 smb:1678 d:- ref:0 ;
in:105 out:106 type:B dur:2 cpbdur:2 q:26.26 aq:21.99 tex:3145 mv:1578 misc:757 imb:0 pmb:224 smb:2080 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:26.26 aq:20.55 tex:1970 mv:1259 misc:635 imb:0 pmb:170 smb:2134 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:26.26 aq:17.01 tex:52308 mv:4375 misc:1397 imb:64 pmb:653 smb:1587 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:26.26 aq:21.69 tex:4601 mv:2328 misc:967 imb:5 pmb:291 smb:2008 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:26.26 aq:22.11 tex:2474 mv:1728 misc:766 imb:5 pmb:220 smb:2079 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:26.26 aq:21.06 tex:2061 mv:1322 misc:617 imb:2 pmb:169 smb:2133 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:26.26 aq:16.98 tex:44864 mv:3739 misc:1421 imb:43 pmb:624 smb:1637 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:26.26 aq:21.31 tex:3981 mv:1996 misc:855 imb:0 pmb:239 smb:2065 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:26.26 aq:21.60 tex:2231 mv:1440 misc:673 imb:2 pmb:176 smb:2126 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:26.26 aq:20.92 tex:2249 mv:1395 misc:644 imb:0 pmb:180 smb:2124 d:- ref:0 ;
in:118 out:116 type:P dur:2 cpbdur:2 q:26.26 aq:17.41 tex:35062 mv:2688 misc:1346 imb:27 pmb:522 smb:1755 d:- ref:0 ;
in:116 out:117 type:B dur:2 cpbdur:2 q:26.26 aq:21.07 tex:3280 mv:1663 misc:745 imb:1 pmb:217 smb:2086 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:26.26 aq:21.52 tex:2304 mv:1267 misc:645 imb:5 pmb:174 smb:2125 d:- ref:0 ;
in:121 out:119 type:P dur:2 cpbdur:2 q:26.26 aq:16.85 tex:29779 mv:2685 misc:1256 imb:34 pmb:484 smb:1786 d:- ref:0 ;
in:119 out:120 type:B dur:2 cpbdur:2 q:26.26 aq:21.57 tex:2537 mv:1452 misc:683 imb:1 pmb:201 smb:2102 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:26.26 aq:22.83 tex:1933 mv:1233 misc:562 imb:1 pmb:160 smb:2143 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:26.26 aq:16.75 tex:44206 mv:3400 misc:1194 imb:49 pmb:541 smb:1714 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:26.26 aq:20.81 tex:4742 mv:2285 misc:941 imb:5 pmb:282 smb:2017 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:26.26 aq:23.33 tex:2301 mv:1456 misc:715 imb:1 pmb:196 smb:2107 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:26.26 aq:20.94 tex:2048 mv:1399 misc:697 imb:4 pmb:181 smb:2119 d:- ref:0 ;
in:127 out:126 type:P dur:2 cpbdur:2 q:26.26 aq:16.66 tex:37440 mv:2921 misc:1239 imb:28 pmb:511 smb:1765 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:26.26 aq:21.73 tex:2135 mv:1558 misc:723 imb:1 pmb:201 smb:2102 d:- ref:0 ;
in:129 out:128 type:P dur:2 cpbdur:2 q:26.26 aq:17.29 tex:39546 mv:2863 misc:1079 imb:25 pmb:502 smb:1777 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:26.26 aq:21.94 tex:2291 mv:1729 misc:700 imb:0 pmb:204 smb:2100 d:- ref:0 ;
in:131 out:130 type:P dur:2 cpbdur:2 q:26.26 aq:16.64 tex:33761 mv:2672 misc:1055 imb:17 pmb:466 smb:1821 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:26.26 aq:22.87 tex:2294 mv:1473 misc:657 imb:0 pmb:189 smb:2115 d:- ref:0 ;
in:133 out:132 type:P dur:2 cpbdur:2 q:26.26 aq:17.94 tex:38941 mv:2904 misc:1091 imb:41 pmb:476 smb:1787 d:- ref:0 ;
